,unsafe_control_action_0,unsafe_control_action_1,equality
522,Autobrake Controller stops providing Brake command too early during landing [H-3],BSCU Disarm command is issued before landing completion [H-2],True
523,Hydraulic Controller does not open valves during Autobrake mode [H-3],Wheels do not provide feedback for Wheel Speed [H-6],False
524,Autobrake Controller stops providing Brake command too early during landing [H-3],BSCU triggers Brake too late after turbulence passes [H-6],False
525,Flight Crew does not utilize Reverse thrust on slippery runway [H-1],Flight Crew does not engage Steering control during taxi [H-3],False
526,BSCU triggers Brake too late after turbulence passes [H-6],Flight Crew applies reverse thrust out of sequence [H-6],True
527,Other subsystems receive erroneous Manual Controls causing hazard [H-6],Hydraulic system disengages prematurely [H-2],False
528,BSCU does not engage Autobrake mode when required [H-1],Autobrake deceleration rate set incorrectly [H-1],True
529,Autobrake Controller provides Brake command too late after a rejected takeoff [H-3],Flight Crew engages Steering control during high-speed approach [H-6],False
530,Autobrake deceleration rate set incorrectly [H-1],"Manual Braking State entered unnecessarily, disrupting sequence [H-6]",False
531,Autobrake Controller provides Brake command too late after a rejected takeoff [H-3],Autobrake disengages prematurely during emergency braking [H-3],True
532,Hydraulic Controller closes valves during critical braking [H-3],Wheel Brakes maintain full pressure post-stop [H-2],False
533,Hydraulic Controller closes valves during critical braking [H-3],Flight Crew does not engage Steering control during taxi [H-3],False
534,Wheels provide inaccurate Wheel Speed data [H-6],Flight Crew conducts BSCU mode change mid-flight [H-1],False
535,Other subsystems receive erroneous Manual Controls causing hazard [H-6],Autobrake engages without command during manual operation [H-2],False
536,BSCU power turns off during normal operation [H-2],"Manual Braking State entered unnecessarily, disrupting sequence [H-6]",False
537,Autobrake Controller does not provide Brake command during emergency landing [H-3],Flight Crew omits BSCU mode check during pre-flight [H-1],False
538,Autobrake Controller does not provide Brake command during emergency landing [H-3],BSCU fault signal ignored during landing [H-2],False
539,Flight Crew engages Steering control during high-speed approach [H-6],Autobrake engages without command during manual operation [H-2],False
540,Flight Crew omits BSCU mode check during pre-flight [H-1],BSCU fault falsely triggers emergency protocol [H-2],True
541,Other subsystems receive erroneous Manual Controls causing hazard [H-6],Flight Crew omits BSCU mode check during pre-flight [H-1],False
542,Autobrake Controller provides Brake command during takeoff roll [H-3],BSCU provides Arm and Set command too late for takeoff roll [H-1],False
543,Autobrake Controller does not provide Brake command during emergency landing [H-3],Wheels do not provide feedback for Wheel Speed [H-6],False
544,Other subsystems receive erroneous Manual Controls causing hazard [H-6],Wheel Brakes provide inconsistent braking power [H-3],False
545,BSCU fault signal ignored during landing [H-2],Other subsystems trigger erroneous state transition [H-6],False
546,BSCU engages Autobrake mode during normal taxi [H-3],Hydraulic Controller fails to provide adequate pressure [H-3],True
547,Flight Crew applies Reverse thrust during normal landing [H-2],Wheel Brakes provide inconsistent braking power [H-3],False
548,BSCU provides Arm and Set command too late for takeoff roll [H-1],Hydraulic Controller does not open valves during Autobrake mode [H-3],False
549,Wheels do not provide feedback for Wheel Speed [H-6],Other subsystems trigger erroneous state transition [H-6],False
550,BSCU provides Arm and Set command prematurely before required conditions [H-1],BSCU triggers Brake too late after turbulence passes [H-6],False
551,Hydraulic Controller provides inadequate valve opening during maximum required braking [H-3],BSCU triggers Brake too late after turbulence passes [H-6],False
552,BSCU Disarm command is not issued upon successful landing [H-2],Other subsystems trigger erroneous state transition [H-6],False
553,BSCU does not engage Autobrake mode when required [H-1],BSCU triggers Brake too late after turbulence passes [H-6],False
554,BSCU provides Arm and Set command prematurely before required conditions [H-1],Wheels provide inaccurate Wheel Speed data [H-6],False
555,Hydraulic Controller provides inadequate valve opening during maximum required braking [H-3],Flight Crew engages Steering control during high-speed approach [H-6],False
556,BSCU engages Autobrake mode during normal taxi [H-3],Wheel Brakes maintain full pressure post-stop [H-2],True
557,BSCU power does not turn off during system fault [H-2],Hydraulic Controller provides excessive pressure to brakes [H-3],False
558,Autobrake disengages prematurely during emergency braking [H-3],Wheel Brakes maintain full pressure post-stop [H-2],False
559,Flight Crew enters Manual control state too late after Autobrake failure [H-3],Autobrake deceleration rate set incorrectly [H-1],False
560,BSCU triggers Brake too early upon detecting turbulence [H-6],BSCU fault signal ignored during landing [H-2],False
561,Flight Crew conducts BSCU mode change mid-flight [H-1],Wheel Brakes maintain full pressure post-stop [H-2],False
562,Autobrake Controller provides Brake command during takeoff roll [H-3],Autobrake deceleration rate set incorrectly [H-1],False
563,Wheels do not provide feedback for Wheel Speed [H-6],Other subsystems fail to revert to safe state post-anomaly [H-6],False
564,Flight Crew does not utilize Reverse thrust on slippery runway [H-1],Flight Crew neglects reverse thrust check during systems test [H-6],True
565,Autobrake Controller does not provide Brake command during emergency landing [H-3],Hydraulic Controller provides excessive pressure to brakes [H-3],False
566,Autobrake engages without command during manual operation [H-2],Wheel Brakes provide inconsistent braking power [H-3],False
567,Hydraulic Controller provides inadequate valve opening during maximum required braking [H-3],BSCU Disarm command is issued before landing completion [H-2],False
568,Flight Crew enters Manual control state too late after Autobrake failure [H-3],Hydraulic system remains engaged after command ends [H-3],False
569,Autobrake Controller stops providing Brake command too early during landing [H-3],Hydraulic Controller fails to provide adequate pressure [H-3],True
570,Flight Crew applies Reverse thrust during normal landing [H-2],Other subsystems receive erroneous Manual Controls causing hazard [H-6],False
571,BSCU provides Arm and Set command prematurely before required conditions [H-1],BSCU triggers Brake too early upon detecting turbulence [H-6],False
572,Other subsystems do not receive Manual Controls from Flight Crew [H-6],BSCU Disarm command is not issued upon successful landing [H-2],False
573,Autobrake Controller does not provide Brake command during emergency landing [H-3],BSCU triggers Brake too early upon detecting turbulence [H-6],False
574,BSCU Disarm command is issued before landing completion [H-2],Manual Braking State not entered after system fault detection [H-6],False
575,Other subsystems do not receive Manual Controls from Flight Crew [H-6],Wheels provide inaccurate Wheel Speed data [H-6],True
576,BSCU provides Arm and Set command too late for takeoff roll [H-1],BSCU provides Arm and Set command prematurely before required conditions [H-1],True
577,Wheel Brakes provide inconsistent braking power [H-3],Other subsystems trigger erroneous state transition [H-6],False
578,Flight Crew maintains Manual control state unnecessarily long [H-2],BSCU Disarm command is issued before landing completion [H-2],False
579,BSCU does not engage Autobrake mode when required [H-1],Manual Braking State not entered after system fault detection [H-6],True
580,Hydraulic Controller opens valves too early before receiving Brake command [H-3],Hydraulic Controller closes valves during critical braking [H-3],True
581,Hydraulic Controller provides inadequate valve opening during maximum required braking [H-3],Flight Crew applies reverse thrust out of sequence [H-6],False
582,Brake System Control Unit does not switch to alternate braking mode when required [H-3],BSCU fault falsely triggers emergency protocol [H-2],False
583,BSCU Disarm command is issued before landing completion [H-2],BSCU triggers Brake too early upon detecting turbulence [H-6],False
584,BSCU provides Arm and Set command too late for takeoff roll [H-1],Flight Crew conducts BSCU mode change mid-flight [H-1],True
585,BSCU provides Arm and Set command prematurely before required conditions [H-1],Other subsystems fail to revert to safe state post-anomaly [H-6],False
586,Autobrake engages without command during manual operation [H-2],Wheel Brakes maintain full pressure post-stop [H-2],True
587,Hydraulic Controller provides excessive pressure to brakes [H-3],Autobrake deceleration rate change too late for necessary correction [H-1],False
588,Hydraulic Controller fails to provide adequate pressure [H-3],Flight Crew neglects reverse thrust check during systems test [H-6],False
589,Autobrake Controller does not provide Brake command during emergency landing [H-3],Wheels provide inaccurate Wheel Speed data [H-6],False
590,Flight Crew does not utilize Reverse thrust on slippery runway [H-1],BSCU fault falsely triggers emergency protocol [H-2],True
591,Manual Braking State not entered after system fault detection [H-6],Other subsystems trigger erroneous state transition [H-6],True
592,BSCU does not engage Autobrake mode when required [H-1],BSCU Disarm command is not issued upon successful landing [H-2],False
593,Autobrake Controller provides Brake command during takeoff roll [H-3],BSCU power turns off during normal operation [H-2],False
594,Flight Crew applies Reverse thrust during normal landing [H-2],BSCU triggers Brake too early upon detecting turbulence [H-6],False
595,Flight Crew enters Manual control state too late after Autobrake failure [H-3],BSCU fault falsely triggers emergency protocol [H-2],False
596,BSCU Disarm command is not issued upon successful landing [H-2],BSCU triggers Brake too early upon detecting turbulence [H-6],False
597,Hydraulic Controller provides excessive pressure to brakes [H-3],Autobrake engages without command during manual operation [H-2],True
598,Flight Crew applies Reverse thrust during normal landing [H-2],Flight Crew does not engage Steering control during taxi [H-3],False
599,BSCU power does not turn off during system fault [H-2],Hydraulic system remains engaged after command ends [H-3],False
600,Wheel Brakes provide inconsistent braking power [H-3],Flight Crew neglects reverse thrust check during systems test [H-6],False
601,BSCU does not engage Autobrake mode when required [H-1],Autobrake engages without command during manual operation [H-2],False
602,Autobrake Controller stops providing Brake command too early during landing [H-3],BSCU power turns off during normal operation [H-2],False
603,Flight Crew does not utilize Reverse thrust on slippery runway [H-1],Wheel Brakes maintain full pressure post-stop [H-2],False
604,BSCU engages Autobrake mode during normal taxi [H-3],BSCU provides Arm and Set command prematurely before required conditions [H-1],False
605,Autobrake Controller stops providing Brake command too early during landing [H-3],Hydraulic Controller closes valves during critical braking [H-3],True
606,Flight Crew omits BSCU mode check during pre-flight [H-1],Autobrake engages without command during manual operation [H-2],False
607,Brake System Control Unit switches to alternate mode without necessity [H-2],Autobrake deceleration rate set incorrectly [H-1],False
608,BSCU triggers Brake too early upon detecting turbulence [H-6],Wheel Brakes provide inconsistent braking power [H-3],False
609,Autobrake engages without command during manual operation [H-2],Other subsystems trigger erroneous state transition [H-6],False
610,BSCU power turns off during normal operation [H-2],Brake System Control Unit switches to alternate mode without necessity [H-2],True
611,BSCU Disarm command is issued before landing completion [H-2],Flight Crew applies reverse thrust out of sequence [H-6],False
612,Brake System Control Unit does not switch to alternate braking mode when required [H-3],Hydraulic Controller provides excessive pressure to brakes [H-3],False
613,BSCU triggers Brake too early upon detecting turbulence [H-6],BSCU triggers Brake too late after turbulence passes [H-6],True
614,Autobrake Controller provides Brake command during takeoff roll [H-3],Flight Crew omits BSCU mode check during pre-flight [H-1],False
615,Flight Crew enters Manual control state too late after Autobrake failure [H-3],BSCU power turns off during normal operation [H-2],False
616,BSCU provides Arm and Set command too late for takeoff roll [H-1],Flight Crew applies Reverse thrust during normal landing [H-2],False
617,Brake System Control Unit does not switch to alternate braking mode when required [H-3],Flight Crew omits BSCU mode check during pre-flight [H-1],True
618,Flight Crew maintains Manual control state unnecessarily long [H-2],Brake System Control Unit does not switch to alternate braking mode when required [H-3],False
619,Hydraulic Controller does not open valves during Autobrake mode [H-3],Brake System Control Unit does not switch to alternate braking mode when required [H-3],True
620,Wheels provide inaccurate Wheel Speed data [H-6],BSCU fault signal ignored during landing [H-2],False
621,BSCU engages Autobrake mode during normal taxi [H-3],Brake System Control Unit does not switch to alternate braking mode when required [H-3],True
622,BSCU engages Autobrake mode during normal taxi [H-3],Wheel Brakes provide inconsistent braking power [H-3],True
623,BSCU triggers Brake too late after turbulence passes [H-6],Autobrake engages without command during manual operation [H-2],False
624,BSCU power does not turn off during system fault [H-2],Flight Crew neglects reverse thrust check during systems test [H-6],False
625,Autobrake Controller stops providing Brake command too early during landing [H-3],Flight Crew does not engage Steering control during taxi [H-3],False
626,Flight Crew enters Manual control state too late after Autobrake failure [H-3],Flight Crew does not engage Steering control during taxi [H-3],False
627,Other subsystems do not receive Manual Controls from Flight Crew [H-6],Other subsystems fail to revert to safe state post-anomaly [H-6],True
628,Flight Crew applies Reverse thrust during normal landing [H-2],"Manual Braking State entered unnecessarily, disrupting sequence [H-6]",False
629,Flight Crew maintains Manual control state unnecessarily long [H-2],Hydraulic system remains engaged after command ends [H-3],False
630,Hydraulic Controller closes valves during critical braking [H-3],Other subsystems trigger erroneous state transition [H-6],False
631,Hydraulic Controller provides excessive pressure to brakes [H-3],Wheel Brakes maintain full pressure post-stop [H-2],False
632,BSCU provides Arm and Set command prematurely before required conditions [H-1],Flight Crew enters Manual control state too late after Autobrake failure [H-3],False
633,Brake System Control Unit switches to alternate mode without necessity [H-2],Autobrake engages without command during manual operation [H-2],True
634,Hydraulic Controller opens valves too early before receiving Brake command [H-3],BSCU Disarm command is issued before landing completion [H-2],False
635,Brake System Control Unit switches to alternate mode without necessity [H-2],Hydraulic system remains engaged after command ends [H-3],False
636,BSCU power does not turn off during system fault [H-2],Hydraulic Controller fails to provide adequate pressure [H-3],False
637,Autobrake Controller provides Brake command too late after a rejected takeoff [H-3],BSCU fault signal ignored during landing [H-2],False
638,Flight Crew enters Manual control state too late after Autobrake failure [H-3],Flight Crew conducts BSCU mode change mid-flight [H-1],False
639,Hydraulic Controller fails to provide adequate pressure [H-3],Autobrake deceleration rate set incorrectly [H-1],True
640,Wheels do not provide feedback for Wheel Speed [H-6],Autobrake disengages prematurely during emergency braking [H-3],False
641,BSCU triggers Brake too early upon detecting turbulence [H-6],Wheel Brakes maintain full pressure post-stop [H-2],False
642,Brake System Control Unit switches to alternate mode without necessity [H-2],Flight Crew neglects reverse thrust check during systems test [H-6],False
643,Flight Crew enters Manual control state too late after Autobrake failure [H-3],"Manual Braking State entered unnecessarily, disrupting sequence [H-6]",False
644,Hydraulic Controller does not open valves during Autobrake mode [H-3],Wheels provide inaccurate Wheel Speed data [H-6],False
645,Autobrake Controller stops providing Brake command too early during landing [H-3],Manual Braking State not entered after system fault detection [H-6],False
646,Autobrake engages without command during manual operation [H-2],Flight Crew applies reverse thrust out of sequence [H-6],False
647,Wheel Brakes provide inconsistent braking power [H-3],"Manual Braking State entered unnecessarily, disrupting sequence [H-6]",False
648,Flight Crew does not engage Steering control during taxi [H-3],Wheel Brakes provide inconsistent braking power [H-3],False
649,Autobrake Controller does not provide Brake command during emergency landing [H-3],BSCU provides Arm and Set command too late for takeoff roll [H-1],False
650,Wheels do not provide feedback for Wheel Speed [H-6],Hydraulic system disengages prematurely [H-2],False
651,BSCU engages Autobrake mode during normal taxi [H-3],Wheels do not provide feedback for Wheel Speed [H-6],False
652,Other subsystems do not receive Manual Controls from Flight Crew [H-6],Other subsystems trigger erroneous state transition [H-6],True
653,Flight Crew maintains Manual control state unnecessarily long [H-2],Autobrake engages without command during manual operation [H-2],True
654,Autobrake deceleration rate change too late for necessary correction [H-1],Hydraulic system disengages prematurely [H-2],False
655,BSCU does not engage Autobrake mode when required [H-1],Hydraulic Controller closes valves during critical braking [H-3],False
656,Hydraulic Controller opens valves too early before receiving Brake command [H-3],Hydraulic system remains engaged after command ends [H-3],True
657,Wheel Brakes provide inconsistent braking power [H-3],BSCU fault signal ignored during landing [H-2],False
658,Flight Crew applies Reverse thrust during normal landing [H-2],Hydraulic Controller fails to provide adequate pressure [H-3],False
659,Autobrake deceleration rate change too late for necessary correction [H-1],BSCU fault signal ignored during landing [H-2],False
660,BSCU triggers Brake too late after turbulence passes [H-6],Autobrake deceleration rate change too late for necessary correction [H-1],True
661,Hydraulic Controller closes valves during critical braking [H-3],Hydraulic system disengages prematurely [H-2],True
662,Flight Crew maintains Manual control state unnecessarily long [H-2],Hydraulic Controller closes valves during critical braking [H-3],False
663,Flight Crew engages Steering control during high-speed approach [H-6],Flight Crew conducts BSCU mode change mid-flight [H-1],False
664,Autobrake Controller does not provide Brake command during emergency landing [H-3],Flight Crew neglects reverse thrust check during systems test [H-6],False
665,Wheels do not provide feedback for Wheel Speed [H-6],Wheels provide inaccurate Wheel Speed data [H-6],True
666,Autobrake Controller stops providing Brake command too early during landing [H-3],Flight Crew enters Manual control state too late after Autobrake failure [H-3],False
667,BSCU does not engage Autobrake mode when required [H-1],Other subsystems do not receive Manual Controls from Flight Crew [H-6],False
668,BSCU does not engage Autobrake mode when required [H-1],Hydraulic system disengages prematurely [H-2],True
669,BSCU provides Arm and Set command too late for takeoff roll [H-1],Hydraulic system disengages prematurely [H-2],False
670,Flight Crew conducts BSCU mode change mid-flight [H-1],Hydraulic system disengages prematurely [H-2],False
671,BSCU Disarm command is issued before landing completion [H-2],Other subsystems trigger erroneous state transition [H-6],False
672,BSCU provides Arm and Set command prematurely before required conditions [H-1],Hydraulic Controller fails to provide adequate pressure [H-3],False
673,Brake System Control Unit does not switch to alternate braking mode when required [H-3],Hydraulic system disengages prematurely [H-2],False
674,BSCU power does not turn off during system fault [H-2],Autobrake engages without command during manual operation [H-2],True
675,Hydraulic Controller does not open valves during Autobrake mode [H-3],Other subsystems do not receive Manual Controls from Flight Crew [H-6],False
676,BSCU provides Arm and Set command too late for takeoff roll [H-1],Other subsystems do not receive Manual Controls from Flight Crew [H-6],False
677,Autobrake Controller provides Brake command during takeoff roll [H-3],Autobrake deceleration rate change too late for necessary correction [H-1],False
678,BSCU power turns off during normal operation [H-2],BSCU Disarm command is issued before landing completion [H-2],True
679,Autobrake Controller stops providing Brake command too early during landing [H-3],Flight Crew conducts BSCU mode change mid-flight [H-1],False
680,Flight Crew maintains Manual control state unnecessarily long [H-2],Hydraulic Controller does not open valves during Autobrake mode [H-3],False
681,Other subsystems do not receive Manual Controls from Flight Crew [H-6],Hydraulic Controller fails to provide adequate pressure [H-3],False
682,Flight Crew engages Steering control during high-speed approach [H-6],Autobrake deceleration rate change too late for necessary correction [H-1],False
683,BSCU power turns off during normal operation [H-2],Wheel Brakes maintain full pressure post-stop [H-2],False
684,Wheels provide inaccurate Wheel Speed data [H-6],Flight Crew omits BSCU mode check during pre-flight [H-1],False
685,Autobrake deceleration rate set incorrectly [H-1],Flight Crew applies reverse thrust out of sequence [H-6],False
686,BSCU provides Arm and Set command prematurely before required conditions [H-1],BSCU power does not turn off during system fault [H-2],False
687,BSCU power turns off during normal operation [H-2],Flight Crew engages Steering control during high-speed approach [H-6],False
688,Hydraulic Controller closes valves during critical braking [H-3],"Manual Braking State entered unnecessarily, disrupting sequence [H-6]",False
689,BSCU Disarm command is not issued upon successful landing [H-2],Flight Crew omits BSCU mode check during pre-flight [H-1],False
690,Wheels do not provide feedback for Wheel Speed [H-6],Hydraulic system remains engaged after command ends [H-3],False
691,Wheels do not provide feedback for Wheel Speed [H-6],Wheel Brakes maintain full pressure post-stop [H-2],False
692,BSCU provides Arm and Set command too late for takeoff roll [H-1],Wheels provide inaccurate Wheel Speed data [H-6],False
693,BSCU provides Arm and Set command too late for takeoff roll [H-1],Autobrake deceleration rate change too late for necessary correction [H-1],False
694,Autobrake Controller does not provide Brake command during emergency landing [H-3],Autobrake Controller provides Brake command during takeoff roll [H-3],False
695,Hydraulic Controller opens valves too early before receiving Brake command [H-3],BSCU power turns off during normal operation [H-2],False
696,Flight Crew applies Reverse thrust during normal landing [H-2],Wheels do not provide feedback for Wheel Speed [H-6],False
697,BSCU provides Arm and Set command too late for takeoff roll [H-1],Wheel Brakes provide inconsistent braking power [H-3],False
698,Hydraulic Controller opens valves too early before receiving Brake command [H-3],Wheel Brakes maintain full pressure post-stop [H-2],False
699,BSCU power does not turn off during system fault [H-2],BSCU power turns off during normal operation [H-2],False
700,Hydraulic system disengages prematurely [H-2],Other subsystems trigger erroneous state transition [H-6],False
701,BSCU power turns off during normal operation [H-2],Other subsystems fail to revert to safe state post-anomaly [H-6],False
702,BSCU Disarm command is issued before landing completion [H-2],Flight Crew omits BSCU mode check during pre-flight [H-1],True
703,Hydraulic Controller provides inadequate valve opening during maximum required braking [H-3],BSCU fault signal ignored during landing [H-2],False
704,Flight Crew applies Reverse thrust during normal landing [H-2],Autobrake disengages prematurely during emergency braking [H-3],False
705,Hydraulic Controller fails to provide adequate pressure [H-3],BSCU triggers Brake too early upon detecting turbulence [H-6],False
706,Wheels do not provide feedback for Wheel Speed [H-6],BSCU fault falsely triggers emergency protocol [H-2],False
707,Hydraulic Controller fails to provide adequate pressure [H-3],BSCU fault falsely triggers emergency protocol [H-2],False
708,BSCU provides Arm and Set command too late for takeoff roll [H-1],BSCU triggers Brake too early upon detecting turbulence [H-6],False
709,Wheel Brakes provide inconsistent braking power [H-3],Manual Braking State not entered after system fault detection [H-6],False
710,Wheel Brakes maintain full pressure post-stop [H-2],Hydraulic system disengages prematurely [H-2],False
711,Flight Crew applies Reverse thrust during normal landing [H-2],Flight Crew engages Steering control during high-speed approach [H-6],False
712,BSCU Disarm command is not issued upon successful landing [H-2],Flight Crew neglects reverse thrust check during systems test [H-6],False
713,BSCU provides Arm and Set command too late for takeoff roll [H-1],Hydraulic system remains engaged after command ends [H-3],False
714,Flight Crew maintains Manual control state unnecessarily long [H-2],Other subsystems trigger erroneous state transition [H-6],False
715,Brake System Control Unit does not switch to alternate braking mode when required [H-3],BSCU Disarm command is not issued upon successful landing [H-2],True
716,Autobrake Controller provides Brake command too late after a rejected takeoff [H-3],Flight Crew conducts BSCU mode change mid-flight [H-1],False
717,BSCU fault signal ignored during landing [H-2],BSCU fault falsely triggers emergency protocol [H-2],False
718,Other subsystems do not receive Manual Controls from Flight Crew [H-6],Flight Crew omits BSCU mode check during pre-flight [H-1],False
719,BSCU triggers Brake too late after turbulence passes [H-6],BSCU fault signal ignored during landing [H-2],False
720,BSCU triggers Brake too late after turbulence passes [H-6],Other subsystems trigger erroneous state transition [H-6],True
721,BSCU power turns off during normal operation [H-2],Flight Crew conducts BSCU mode change mid-flight [H-1],False
722,Other subsystems receive erroneous Manual Controls causing hazard [H-6],Flight Crew does not engage Steering control during taxi [H-3],False
723,Flight Crew applies Reverse thrust during normal landing [H-2],Other subsystems fail to revert to safe state post-anomaly [H-6],False
724,Flight Crew does not utilize Reverse thrust on slippery runway [H-1],Hydraulic Controller provides inadequate valve opening during maximum required braking [H-3],False
725,Hydraulic Controller fails to provide adequate pressure [H-3],Autobrake deceleration rate change too late for necessary correction [H-1],False
726,BSCU power turns off during normal operation [H-2],Autobrake deceleration rate change too late for necessary correction [H-1],False
727,Flight Crew does not engage Steering control during taxi [H-3],Brake System Control Unit switches to alternate mode without necessity [H-2],False
728,Hydraulic Controller does not open valves during Autobrake mode [H-3],BSCU fault signal ignored during landing [H-2],False
729,Hydraulic Controller does not open valves during Autobrake mode [H-3],Flight Crew engages Steering control during high-speed approach [H-6],False
730,Flight Crew omits BSCU mode check during pre-flight [H-1],Flight Crew neglects reverse thrust check during systems test [H-6],False
731,Autobrake disengages prematurely during emergency braking [H-3],BSCU fault signal ignored during landing [H-2],False
732,Hydraulic Controller fails to provide adequate pressure [H-3],Hydraulic system remains engaged after command ends [H-3],True
733,Wheels provide inaccurate Wheel Speed data [H-6],"Manual Braking State entered unnecessarily, disrupting sequence [H-6]",False
734,BSCU engages Autobrake mode during normal taxi [H-3],BSCU triggers Brake too late after turbulence passes [H-6],False
735,Autobrake engages without command during manual operation [H-2],BSCU fault signal ignored during landing [H-2],True
736,Hydraulic Controller opens valves too early before receiving Brake command [H-3],Hydraulic system disengages prematurely [H-2],True
737,Flight Crew does not utilize Reverse thrust on slippery runway [H-1],Autobrake deceleration rate change too late for necessary correction [H-1],True
738,Other subsystems receive erroneous Manual Controls causing hazard [H-6],Hydraulic system remains engaged after command ends [H-3],False
739,Hydraulic Controller does not open valves during Autobrake mode [H-3],Hydraulic Controller closes valves during critical braking [H-3],True
740,Hydraulic Controller closes valves during critical braking [H-3],Manual Braking State not entered after system fault detection [H-6],True
741,Flight Crew enters Manual control state too late after Autobrake failure [H-3],Hydraulic Controller does not open valves during Autobrake mode [H-3],False
742,Brake System Control Unit does not switch to alternate braking mode when required [H-3],Flight Crew conducts BSCU mode change mid-flight [H-1],False
743,BSCU provides Arm and Set command prematurely before required conditions [H-1],Autobrake deceleration rate change too late for necessary correction [H-1],False
744,Flight Crew applies Reverse thrust during normal landing [H-2],Flight Crew applies reverse thrust out of sequence [H-6],False
745,Hydraulic Controller closes valves during critical braking [H-3],BSCU triggers Brake too early upon detecting turbulence [H-6],False
746,Hydraulic Controller fails to provide adequate pressure [H-3],Flight Crew omits BSCU mode check during pre-flight [H-1],False
747,Wheel Brakes maintain full pressure post-stop [H-2],BSCU fault falsely triggers emergency protocol [H-2],False
748,Flight Crew engages Steering control during high-speed approach [H-6],Wheel Brakes maintain full pressure post-stop [H-2],False
749,Hydraulic Controller opens valves too early before receiving Brake command [H-3],Flight Crew applies reverse thrust out of sequence [H-6],False
750,Autobrake Controller stops providing Brake command too early during landing [H-3],BSCU fault signal ignored during landing [H-2],False
751,Brake System Control Unit does not switch to alternate braking mode when required [H-3],Wheel Brakes maintain full pressure post-stop [H-2],False
752,Flight Crew does not engage Steering control during taxi [H-3],Wheel Brakes maintain full pressure post-stop [H-2],False
753,Autobrake Controller does not provide Brake command during emergency landing [H-3],Hydraulic Controller fails to provide adequate pressure [H-3],True
754,BSCU provides Arm and Set command prematurely before required conditions [H-1],Brake System Control Unit switches to alternate mode without necessity [H-2],True
755,Hydraulic Controller provides excessive pressure to brakes [H-3],Flight Crew neglects reverse thrust check during systems test [H-6],False
756,BSCU power turns off during normal operation [H-2],Flight Crew neglects reverse thrust check during systems test [H-6],False
757,Flight Crew applies Reverse thrust during normal landing [H-2],Hydraulic Controller closes valves during critical braking [H-3],False
758,Flight Crew maintains Manual control state unnecessarily long [H-2],Flight Crew applies reverse thrust out of sequence [H-6],False
759,BSCU power does not turn off during system fault [H-2],BSCU fault signal ignored during landing [H-2],True
760,BSCU provides Arm and Set command prematurely before required conditions [H-1],Hydraulic system disengages prematurely [H-2],False
761,Other subsystems receive erroneous Manual Controls causing hazard [H-6],Flight Crew engages Steering control during high-speed approach [H-6],True
762,Autobrake Controller provides Brake command during takeoff roll [H-3],Brake System Control Unit does not switch to alternate braking mode when required [H-3],True
763,Hydraulic Controller provides excessive pressure to brakes [H-3],BSCU fault falsely triggers emergency protocol [H-2],False
764,BSCU provides Arm and Set command prematurely before required conditions [H-1],Flight Crew does not engage Steering control during taxi [H-3],False
765,Flight Crew applies Reverse thrust during normal landing [H-2],Hydraulic Controller opens valves too early before receiving Brake command [H-3],False
766,BSCU does not engage Autobrake mode when required [H-1],Hydraulic Controller does not open valves during Autobrake mode [H-3],False
767,BSCU power turns off during normal operation [H-2],Hydraulic Controller provides excessive pressure to brakes [H-3],False
768,Autobrake Controller does not provide Brake command during emergency landing [H-3],Brake System Control Unit switches to alternate mode without necessity [H-2],False
769,Flight Crew conducts BSCU mode change mid-flight [H-1],Flight Crew applies reverse thrust out of sequence [H-6],True
770,BSCU does not engage Autobrake mode when required [H-1],Flight Crew neglects reverse thrust check during systems test [H-6],False
771,BSCU provides Arm and Set command too late for takeoff roll [H-1],Manual Braking State not entered after system fault detection [H-6],False
772,BSCU provides Arm and Set command prematurely before required conditions [H-1],Hydraulic system remains engaged after command ends [H-3],False
773,BSCU triggers Brake too early upon detecting turbulence [H-6],Flight Crew neglects reverse thrust check during systems test [H-6],True
774,BSCU does not engage Autobrake mode when required [H-1],Other subsystems receive erroneous Manual Controls causing hazard [H-6],False
775,BSCU does not engage Autobrake mode when required [H-1],BSCU fault signal ignored during landing [H-2],False
776,Flight Crew enters Manual control state too late after Autobrake failure [H-3],Other subsystems trigger erroneous state transition [H-6],False
777,Autobrake engages without command during manual operation [H-2],"Manual Braking State entered unnecessarily, disrupting sequence [H-6]",False
778,Flight Crew does not utilize Reverse thrust on slippery runway [H-1],Wheel Brakes provide inconsistent braking power [H-3],False
779,Flight Crew conducts BSCU mode change mid-flight [H-1],BSCU fault signal ignored during landing [H-2],True
780,Hydraulic Controller provides inadequate valve opening during maximum required braking [H-3],Autobrake deceleration rate change too late for necessary correction [H-1],False
781,Autobrake deceleration rate change too late for necessary correction [H-1],Manual Braking State not entered after system fault detection [H-6],False
782,BSCU engages Autobrake mode during normal taxi [H-3],Hydraulic system remains engaged after command ends [H-3],True
783,Hydraulic Controller fails to provide adequate pressure [H-3],BSCU triggers Brake too late after turbulence passes [H-6],False
784,Other subsystems do not receive Manual Controls from Flight Crew [H-6],BSCU fault signal ignored during landing [H-2],False
785,Brake System Control Unit does not switch to alternate braking mode when required [H-3],Autobrake disengages prematurely during emergency braking [H-3],True
786,Flight Crew applies Reverse thrust during normal landing [H-2],BSCU Disarm command is not issued upon successful landing [H-2],True
