,scenario_0,scenario_1,equality
602,Aircraft taxiing system error causes deviation from designated taxiway. [H-3],In-flight control system reset results in temporary loss of navigation capabilities. [H-4],True
603,Brake system power-off too early interrupting necessary deceleration. [H-4.1],UAV’s data link failure leads to incomplete surveillance mission. [H-7],False
604,Hydraulic leak prevents adequate brake pressure application. [H-4.1],Weather-induced loss of control disrupts mission timeline. [H-4],False
605,"Cargo aircraft inadvertently releases cargo mid-flight, violating separation standards. [H-1]",Late crew response to autobrake anomaly leads to braking inefficiencies. [H-4.1],False
606,"Miscommunication between crew and BSCU, failing to apply brakes during landing roll. [H-4.1]","Inadequate runway friction leads to extended landing roll, risking safety. [H-4.1]",True
607,Crew's incorrect power-off decision causes unnecessary brake failure. [H-4.1],GPS failure results in UAV deviating from mission path. [H-4],False
608,Hydraulic leak prevents adequate brake pressure application. [H-4.1],"Cargo aircraft inadvertently releases cargo mid-flight, violating separation standards. [H-1]",False
609,Terrain detection issue causes aircraft to drift too close to a mountain. [H-6],Crew's late response to abnormal WBS handling results in safety compromise. [H-4.1],False
610,Aircraft taxiing system error causes deviation from designated taxiway. [H-3],BSCU manual override misinterpretation fails to apply necessary braking. [H-4.1],False
611,Satellite communication error prevents scientific data collection. [H-5],UAV’s data link failure leads to incomplete surveillance mission. [H-7],True
612,"Wind shear encounter causes deviation from flight path, compromising separation. [H-1]",Tire burst during landing roll causes deviation from runway. [H-3],False
613,Late feedback to BSCU results in delayed braking upon touchdown. [H-4.1],In-flight control system reset results in temporary loss of navigation capabilities. [H-4],False
614,Brake system power-off too early interrupting necessary deceleration. [H-4.1],"Wind shear encounter causes deviation from flight path, compromising separation. [H-1]",False
615,Crew's incorrect power-off decision causes unnecessary brake failure. [H-4.1],Communication lag leads to failure in timely satellite repositioning for data collection. [H-5],True
616,"Miscommunication between crew and BSCU, failing to apply brakes during landing roll. [H-4.1]",Failure in autobrake controller logic leads to brake application error during landing. [H-4.1],True
617,Pilot error in thrust control leads to unsafe proximity to terrain during descent. [H-6],Hydraulic control failure results in insufficient braking power application. [H-4.1],False
618,"Wet runway impacts braking efficiency, causing deceleration issues. [H-4.1]",Hydraulic control failure results in insufficient braking power application. [H-4.1],True
619,Crew ignores braking system warnings due to unclear procedures. [H-4.1],Hydraulic leak prevents adequate brake pressure application. [H-4.1],True
620,Autobrake controller incorrectly activates in normal takeoff scenario. [H-4.3],"BSCU fails to disarm post-landing, resulting in abrupt brake engagement. [H-4.1]",True
621,"Sensor misalignment reports incorrect ground proximity, leading to hazards. [H-4]",Crew’s failure to acknowledge sensor alerts results in delay in power-off action. [H-4.1],False
622,GPS failure results in UAV deviating from mission path. [H-4],In-flight control system reset results in temporary loss of navigation capabilities. [H-4],True
623,"Crew misinterprets autobrake feedback, delaying power-off decision. [H-4.1]",Communication lag leads to failure in timely satellite repositioning for data collection. [H-5],False
624,Brake command transmission delay due to network congestion causes late brake application. [H-4.1],"BSCU fails to disarm post-landing, resulting in abrupt brake engagement. [H-4.1]",True
625,Terrain detection issue causes aircraft to drift too close to a mountain. [H-6],Actuator delay results in insufficient braking force during landing. [H-4.1],False
626,Brake system power-off too early interrupting necessary deceleration. [H-4.1],Tire burst during landing roll causes deviation from runway. [H-3],False
627,Terrain detection issue causes aircraft to drift too close to a mountain. [H-6],Crew ignores braking system warnings due to unclear procedures. [H-4.1],False
628,UAV’s data link failure leads to incomplete surveillance mission. [H-7],Failure in autobrake controller logic leads to brake application error during landing. [H-4.1],True
629,Malfunction in UAV’s navigation system prevents mission completion. [H-7],UAV’s data link failure leads to incomplete surveillance mission. [H-7],True
630,Asymmetrical braking applied due to hydraulic system imbalance. [H-4.2],Ground radar failure results in aircraft collision with ground object. [H-4],False
631,Crew ignores braking system warnings due to unclear procedures. [H-4.1],GPS failure results in UAV deviating from mission path. [H-4],False
632,Terrain detection issue causes aircraft to drift too close to a mountain. [H-6],Asymmetrical braking applied due to hydraulic system imbalance. [H-4.2],False
633,"Miscommunication between crew and BSCU, failing to apply brakes during landing roll. [H-4.1]","Wet runway impacts braking efficiency, causing deceleration issues. [H-4.1]",False
634,Tire burst during landing roll causes deviation from runway. [H-3],Software crash causes temporary loss of satellite data acquisition capabilities. [H-5],False
635,Late crew response to autobrake anomaly leads to braking inefficiencies. [H-4.1],Crew’s failure to acknowledge sensor alerts results in delay in power-off action. [H-4.1],True
636,Hydraulic leak prevents adequate brake pressure application. [H-4.1],"Aircraft navigation error leads to unanticipated altitude drop, risking separation. [H-1]",False
637,Ground proximity system failure leads to aircraft nearing other ground objects. [H-4],Hydraulic failure leads to asymmetric brake application. [H-4.2],True
638,"Inadequate runway friction leads to extended landing roll, risking safety. [H-4.1]",Weather-induced loss of control disrupts mission timeline. [H-4],False
639,Ground proximity system failure leads to aircraft nearing other ground objects. [H-4],Autobrake system erroneously applies breaks during takeoff. [H-4.3],False
640,Ground proximity system failure leads to aircraft nearing other ground objects. [H-4],Hydraulic leak prevents adequate brake pressure application. [H-4.1],True
641,"Inadequate runway friction leads to extended landing roll, risking safety. [H-4.1]",Communication lag leads to failure in timely satellite repositioning for data collection. [H-5],False
642,Asymmetrical braking applied due to hydraulic system imbalance. [H-4.2],"Wind shear encounter causes deviation from flight path, compromising separation. [H-1]",False
643,"Wind shear encounter causes deviation from flight path, compromising separation. [H-1]",Crew intervention in normal braking leads to unnecessary power-off of BSCU. [H-4.1],False
644,Nuclear plant valve malfunction results in unchecked material release. [H-8],Autopilot disengagement error results in improper descent path. [H-6],False
645,Control system failure at nuclear plant leads to dangerous material release. [H-8],Power surge in BSCU disrupts normal braking sequence. [H-4.1],True
646,"Wet runway impacts braking efficiency, causing deceleration issues. [H-4.1]",Software crash causes temporary loss of satellite data acquisition capabilities. [H-5],False
647,Communication lag leads to failure in timely satellite repositioning for data collection. [H-5],Weather-induced loss of control disrupts mission timeline. [H-4],False
648,Brake system power-off too early interrupting necessary deceleration. [H-4.1],Hydraulic control failure results in insufficient braking power application. [H-4.1],True
649,Brake command transmission delay due to network congestion causes late brake application. [H-4.1],Hydraulic control failure results in insufficient braking power application. [H-4.1],True
650,Crew intervention in normal braking leads to unnecessary power-off of BSCU. [H-4.1],Hydraulic control failure results in insufficient braking power application. [H-4.1],True
651,In-flight control system reset results in temporary loss of navigation capabilities. [H-4],Late crew response to autobrake anomaly leads to braking inefficiencies. [H-4.1],True
652,Nuclear plant valve malfunction results in unchecked material release. [H-8],Late crew response to autobrake anomaly leads to braking inefficiencies. [H-4.1],False
653,Crew's late response to abnormal WBS handling results in safety compromise. [H-4.1],Early termination of brake command resulting in extended runway use. [H-4.1],False
654,Hydraulic failure leads to asymmetric brake application. [H-4.2],Crew’s failure to acknowledge sensor alerts results in delay in power-off action. [H-4.1],False
655,Crew's late response to abnormal WBS handling results in safety compromise. [H-4.1],Power surge in BSCU disrupts normal braking sequence. [H-4.1],True
656,Satellite communication error prevents scientific data collection. [H-5],Crew's incorrect power-off decision causes unnecessary brake failure. [H-4.1],False
657,"Cargo aircraft inadvertently releases cargo mid-flight, violating separation standards. [H-1]",Communication lag leads to failure in timely satellite repositioning for data collection. [H-5],False
658,"Inadequate runway friction leads to extended landing roll, risking safety. [H-4.1]","Sensor misalignment reports incorrect ground proximity, leading to hazards. [H-4]",False
659,Satellite communication error prevents scientific data collection. [H-5],Crew intervention in normal braking leads to unnecessary power-off of BSCU. [H-4.1],False
660,Autobrake system erroneously applies breaks during takeoff. [H-4.3],Autopilot disengagement error results in improper descent path. [H-6],False
661,Tire burst during landing roll causes deviation from runway. [H-3],Crew’s failure to acknowledge sensor alerts results in delay in power-off action. [H-4.1],False
662,"Miscommunication between crew and BSCU, failing to apply brakes during landing roll. [H-4.1]","Sensor failure misindicates aircraft stop, halting brake application prematurely. [H-4.1]",True
663,"Aircraft autopilot malfunctions mid-flight, leading to loss of minimum separation standards. [H-1]",UAV’s data link failure leads to incomplete surveillance mission. [H-7],True
664,Crew's late response to abnormal WBS handling results in safety compromise. [H-4.1],Hydraulic failure leads to asymmetric brake application. [H-4.2],False
665,Crew's incorrect power-off decision causes unnecessary brake failure. [H-4.1],Late crew response to autobrake anomaly leads to braking inefficiencies. [H-4.1],True
666,Failure in autobrake controller logic leads to brake application error during landing. [H-4.1],"BSCU fails to disarm post-landing, resulting in abrupt brake engagement. [H-4.1]",True
667,Ground radar failure results in aircraft collision with ground object. [H-4],Weather-induced loss of control disrupts mission timeline. [H-4],False
668,Structural failure of aircraft wing results in loss of airframe integrity. [H-2],Late crew response to autobrake anomaly leads to braking inefficiencies. [H-4.1],False
669,BSCU software error causes braking delay beyond specified time after touchdown. [H-4.1],Tire burst during landing roll causes deviation from runway. [H-3],False
670,Autopilot disengagement error results in improper descent path. [H-6],Communication lag leads to failure in timely satellite repositioning for data collection. [H-5],False
671,Software crash causes temporary loss of satellite data acquisition capabilities. [H-5],Hydraulic control failure results in insufficient braking power application. [H-4.1],False
672,BSCU software error causes braking delay beyond specified time after touchdown. [H-4.1],Late crew response to autobrake anomaly leads to braking inefficiencies. [H-4.1],True
673,"Inadequate runway friction leads to extended landing roll, risking safety. [H-4.1]","Wind shear encounter causes deviation from flight path, compromising separation. [H-1]",False
674,"Crew misinterprets autobrake feedback, delaying power-off decision. [H-4.1]",In-flight control system reset results in temporary loss of navigation capabilities. [H-4],False
675,"Sensor failure misindicates aircraft stop, halting brake application prematurely. [H-4.1]",Brake command transmission delay due to network congestion causes late brake application. [H-4.1],True
676,Hydraulic leak prevents adequate brake pressure application. [H-4.1],Early termination of brake command resulting in extended runway use. [H-4.1],True
677,Asymmetrical braking applied due to hydraulic system imbalance. [H-4.2],Hydraulic failure leads to asymmetric brake application. [H-4.2],True
678,"Crew misinterprets autobrake feedback, delaying power-off decision. [H-4.1]","BSCU fails to disarm post-landing, resulting in abrupt brake engagement. [H-4.1]",True
679,"Miscommunication between crew and BSCU, failing to apply brakes during landing roll. [H-4.1]",Weather-induced loss of control disrupts mission timeline. [H-4],False
680,"Sensor failure misindicates aircraft stop, halting brake application prematurely. [H-4.1]","Wind shear encounter causes deviation from flight path, compromising separation. [H-1]",False
681,BSCU software error causes braking delay beyond specified time after touchdown. [H-4.1],"Inadequate runway friction leads to extended landing roll, risking safety. [H-4.1]",True
682,"BSCU fails to disarm post-landing, resulting in abrupt brake engagement. [H-4.1]",Pilot error in thrust control leads to unsafe proximity to terrain during descent. [H-6],True
683,Crew's late response to abnormal WBS handling results in safety compromise. [H-4.1],"Aircraft navigation error leads to unanticipated altitude drop, risking separation. [H-1]",False
684,Ground proximity system failure leads to aircraft nearing other ground objects. [H-4],Satellite communication error prevents scientific data collection. [H-5],False
685,"Sensor failure misindicates aircraft stop, halting brake application prematurely. [H-4.1]",Autopilot disengagement error results in improper descent path. [H-6],False
686,Asymmetrical braking applied due to hydraulic system imbalance. [H-4.2],"Sensor failure misindicates aircraft stop, halting brake application prematurely. [H-4.1]",False
687,"Cargo aircraft inadvertently releases cargo mid-flight, violating separation standards. [H-1]",Crew intervention in normal braking leads to unnecessary power-off of BSCU. [H-4.1],False
688,GPS failure results in UAV deviating from mission path. [H-4],Communication lag leads to failure in timely satellite repositioning for data collection. [H-5],True
689,Ground proximity system failure leads to aircraft nearing other ground objects. [H-4],Autobrake controller incorrectly activates in normal takeoff scenario. [H-4.3],False
690,"Wind shear encounter causes deviation from flight path, compromising separation. [H-1]",Late crew response to autobrake anomaly leads to braking inefficiencies. [H-4.1],False
691,Crew's late response to abnormal WBS handling results in safety compromise. [H-4.1],Hydraulic control failure results in insufficient braking power application. [H-4.1],False
692,"Wind shear encounter causes deviation from flight path, compromising separation. [H-1]",In-flight control system reset results in temporary loss of navigation capabilities. [H-4],False
693,BSCU software error causes braking delay beyond specified time after touchdown. [H-4.1],Communication lag leads to failure in timely satellite repositioning for data collection. [H-5],False
694,"Miscommunication between crew and BSCU, failing to apply brakes during landing roll. [H-4.1]",Pilot error in thrust control leads to unsafe proximity to terrain during descent. [H-6],False
695,"Inadequate runway friction leads to extended landing roll, risking safety. [H-4.1]",Ground radar failure results in aircraft collision with ground object. [H-4],False
696,Autobrake controller incorrectly activates in normal takeoff scenario. [H-4.3],Autobrake system erroneously applies breaks during takeoff. [H-4.3],True
697,Structural failure of aircraft wing results in loss of airframe integrity. [H-2],Crew’s failure to acknowledge sensor alerts results in delay in power-off action. [H-4.1],False
698,"Sensor misalignment reports incorrect ground proximity, leading to hazards. [H-4]",Weather-induced loss of control disrupts mission timeline. [H-4],False
699,Brake command transmission delay due to network congestion causes late brake application. [H-4.1],Crew’s failure to acknowledge sensor alerts results in delay in power-off action. [H-4.1],True
700,Control system failure at nuclear plant leads to dangerous material release. [H-8],"Sensor misalignment reports incorrect ground proximity, leading to hazards. [H-4]",False
701,Actuator delay results in insufficient braking force during landing. [H-4.1],Late crew response to autobrake anomaly leads to braking inefficiencies. [H-4.1],True
702,Hydraulic failure leads to asymmetric brake application. [H-4.2],Tire burst during landing roll causes deviation from runway. [H-3],False
703,"Cargo aircraft inadvertently releases cargo mid-flight, violating separation standards. [H-1]",Software crash causes temporary loss of satellite data acquisition capabilities. [H-5],False
704,Asymmetrical braking applied due to hydraulic system imbalance. [H-4.2],Autopilot disengagement error results in improper descent path. [H-6],False
705,"Sensor failure misindicates aircraft stop, halting brake application prematurely. [H-4.1]",Late crew response to autobrake anomaly leads to braking inefficiencies. [H-4.1],True
706,Control system failure at nuclear plant leads to dangerous material release. [H-8],Autopilot disengagement error results in improper descent path. [H-6],False
707,Late feedback to BSCU results in delayed braking upon touchdown. [H-4.1],BSCU software error causes braking delay beyond specified time after touchdown. [H-4.1],True
708,"Miscommunication between crew and BSCU, failing to apply brakes during landing roll. [H-4.1]",Software crash causes temporary loss of satellite data acquisition capabilities. [H-5],False
709,Malfunction in UAV’s navigation system prevents mission completion. [H-7],Hydraulic leak prevents adequate brake pressure application. [H-4.1],False
710,Hydraulic failure leads to asymmetric brake application. [H-4.2],Brake command transmission delay due to network congestion causes late brake application. [H-4.1],False
711,"Miscommunication between crew and BSCU, failing to apply brakes during landing roll. [H-4.1]",Hydraulic leak prevents adequate brake pressure application. [H-4.1],False
712,Ground proximity system failure leads to aircraft nearing other ground objects. [H-4],"Crew misinterprets autobrake feedback, delaying power-off decision. [H-4.1]",True
713,Asymmetrical braking applied due to hydraulic system imbalance. [H-4.2],Early termination of brake command resulting in extended runway use. [H-4.1],False
714,Brake system power-off too early interrupting necessary deceleration. [H-4.1],Autobrake system erroneously applies breaks during takeoff. [H-4.3],False
715,GPS failure results in UAV deviating from mission path. [H-4],Crew’s failure to acknowledge sensor alerts results in delay in power-off action. [H-4.1],True
716,Crew ignores braking system warnings due to unclear procedures. [H-4.1],Actuator delay results in insufficient braking force during landing. [H-4.1],True
717,Early termination of brake command resulting in extended runway use. [H-4.1],Crew’s failure to acknowledge sensor alerts results in delay in power-off action. [H-4.1],True
718,"BSCU fails to disarm post-landing, resulting in abrupt brake engagement. [H-4.1]",Communication lag leads to failure in timely satellite repositioning for data collection. [H-5],True
719,"Aircraft autopilot malfunctions mid-flight, leading to loss of minimum separation standards. [H-1]",Software crash causes temporary loss of satellite data acquisition capabilities. [H-5],False
720,Ground proximity system failure leads to aircraft nearing other ground objects. [H-4],Failure in autobrake controller logic leads to brake application error during landing. [H-4.1],True
721,Actuator delay results in insufficient braking force during landing. [H-4.1],BSCU manual override misinterpretation fails to apply necessary braking. [H-4.1],True
722,Crew's incorrect power-off decision causes unnecessary brake failure. [H-4.1],Early termination of brake command resulting in extended runway use. [H-4.1],True
723,Autopilot disengagement error results in improper descent path. [H-6],Pilot error in thrust control leads to unsafe proximity to terrain during descent. [H-6],False
724,Control system failure at nuclear plant leads to dangerous material release. [H-8],Tire burst during landing roll causes deviation from runway. [H-3],False
725,GPS failure results in UAV deviating from mission path. [H-4],Autopilot disengagement error results in improper descent path. [H-6],True
726,Crew ignores braking system warnings due to unclear procedures. [H-4.1],Crew's late response to abnormal WBS handling results in safety compromise. [H-4.1],False
727,"Wind shear encounter causes deviation from flight path, compromising separation. [H-1]",Weather-induced loss of control disrupts mission timeline. [H-4],False
728,UAV’s data link failure leads to incomplete surveillance mission. [H-7],Crew's late response to abnormal WBS handling results in safety compromise. [H-4.1],True
729,"BSCU fails to disarm post-landing, resulting in abrupt brake engagement. [H-4.1]",Hydraulic control failure results in insufficient braking power application. [H-4.1],True
730,In-flight control system reset results in temporary loss of navigation capabilities. [H-4],Failure in autobrake controller logic leads to brake application error during landing. [H-4.1],False
731,Asymmetrical braking applied due to hydraulic system imbalance. [H-4.2],"BSCU fails to disarm post-landing, resulting in abrupt brake engagement. [H-4.1]",True
732,Control system failure at nuclear plant leads to dangerous material release. [H-8],Actuator delay results in insufficient braking force during landing. [H-4.1],False
733,Satellite communication error prevents scientific data collection. [H-5],Control system failure at nuclear plant leads to dangerous material release. [H-8],True
734,"Sensor failure misindicates aircraft stop, halting brake application prematurely. [H-4.1]",GPS failure results in UAV deviating from mission path. [H-4],False
735,Autobrake controller incorrectly activates in normal takeoff scenario. [H-4.3],Pilot error in thrust control leads to unsafe proximity to terrain during descent. [H-6],False
736,Crew ignores braking system warnings due to unclear procedures. [H-4.1],Autobrake system erroneously applies breaks during takeoff. [H-4.3],False
737,"Aircraft autopilot malfunctions mid-flight, leading to loss of minimum separation standards. [H-1]",Hydraulic control failure results in insufficient braking power application. [H-4.1],False
738,In-flight control system reset results in temporary loss of navigation capabilities. [H-4],Weather-induced loss of control disrupts mission timeline. [H-4],False
739,Autobrake controller incorrectly activates in normal takeoff scenario. [H-4.3],Crew’s failure to acknowledge sensor alerts results in delay in power-off action. [H-4.1],True
740,Crew ignores braking system warnings due to unclear procedures. [H-4.1],"BSCU fails to disarm post-landing, resulting in abrupt brake engagement. [H-4.1]",True
741,"Miscommunication between crew and BSCU, failing to apply brakes during landing roll. [H-4.1]","Aircraft navigation error leads to unanticipated altitude drop, risking separation. [H-1]",True
742,Hydraulic failure leads to asymmetric brake application. [H-4.2],Failure in autobrake controller logic leads to brake application error during landing. [H-4.1],False
743,Asymmetrical braking applied due to hydraulic system imbalance. [H-4.2],"Sensor misalignment reports incorrect ground proximity, leading to hazards. [H-4]",False
744,Asymmetrical braking applied due to hydraulic system imbalance. [H-4.2],Crew’s failure to acknowledge sensor alerts results in delay in power-off action. [H-4.1],False
745,Tire burst during landing roll causes deviation from runway. [H-3],Early termination of brake command resulting in extended runway use. [H-4.1],False
746,BSCU manual override misinterpretation fails to apply necessary braking. [H-4.1],Crew’s failure to acknowledge sensor alerts results in delay in power-off action. [H-4.1],True
747,"BSCU fails to disarm post-landing, resulting in abrupt brake engagement. [H-4.1]",Weather-induced loss of control disrupts mission timeline. [H-4],False
748,Malfunction in UAV’s navigation system prevents mission completion. [H-7],Nuclear plant valve malfunction results in unchecked material release. [H-8],False
749,"Miscommunication between crew and BSCU, failing to apply brakes during landing roll. [H-4.1]","Crew misinterprets autobrake feedback, delaying power-off decision. [H-4.1]",True
750,Structural failure of aircraft wing results in loss of airframe integrity. [H-2],Crew's incorrect power-off decision causes unnecessary brake failure. [H-4.1],False
751,"Aircraft autopilot malfunctions mid-flight, leading to loss of minimum separation standards. [H-1]","BSCU fails to disarm post-landing, resulting in abrupt brake engagement. [H-4.1]",True
752,Pilot error in thrust control leads to unsafe proximity to terrain during descent. [H-6],Communication lag leads to failure in timely satellite repositioning for data collection. [H-5],False
753,Crew ignores braking system warnings due to unclear procedures. [H-4.1],"Aircraft navigation error leads to unanticipated altitude drop, risking separation. [H-1]",False
754,Brake command transmission delay due to network congestion causes late brake application. [H-4.1],Tire burst during landing roll causes deviation from runway. [H-3],False
755,Structural failure of aircraft wing results in loss of airframe integrity. [H-2],"Sensor misalignment reports incorrect ground proximity, leading to hazards. [H-4]",False
756,Crew's late response to abnormal WBS handling results in safety compromise. [H-4.1],Weather-induced loss of control disrupts mission timeline. [H-4],False
757,Crew's late response to abnormal WBS handling results in safety compromise. [H-4.1],Crew’s failure to acknowledge sensor alerts results in delay in power-off action. [H-4.1],True
758,Structural failure of aircraft wing results in loss of airframe integrity. [H-2],Crew ignores braking system warnings due to unclear procedures. [H-4.1],False
759,Asymmetrical braking applied due to hydraulic system imbalance. [H-4.2],"Inadequate runway friction leads to extended landing roll, risking safety. [H-4.1]",False
760,Malfunction in UAV’s navigation system prevents mission completion. [H-7],Late feedback to BSCU results in delayed braking upon touchdown. [H-4.1],True
761,Malfunction in UAV’s navigation system prevents mission completion. [H-7],"Aircraft navigation error leads to unanticipated altitude drop, risking separation. [H-1]",False
762,Actuator delay results in insufficient braking force during landing. [H-4.1],Autopilot disengagement error results in improper descent path. [H-6],False
763,Hydraulic control failure results in insufficient braking power application. [H-4.1],BSCU manual override misinterpretation fails to apply necessary braking. [H-4.1],True
764,Tire burst during landing roll causes deviation from runway. [H-3],"Aircraft navigation error leads to unanticipated altitude drop, risking separation. [H-1]",False
765,Structural failure of aircraft wing results in loss of airframe integrity. [H-2],"Crew misinterprets autobrake feedback, delaying power-off decision. [H-4.1]",False
766,Crew ignores braking system warnings due to unclear procedures. [H-4.1],"Sensor failure misindicates aircraft stop, halting brake application prematurely. [H-4.1]",True
767,Pilot error in thrust control leads to unsafe proximity to terrain during descent. [H-6],Early termination of brake command resulting in extended runway use. [H-4.1],False
768,Control system failure at nuclear plant leads to dangerous material release. [H-8],Late feedback to BSCU results in delayed braking upon touchdown. [H-4.1],False
769,Actuator delay results in insufficient braking force during landing. [H-4.1],"Sensor misalignment reports incorrect ground proximity, leading to hazards. [H-4]",False
770,Control system failure at nuclear plant leads to dangerous material release. [H-8],"Sensor failure misindicates aircraft stop, halting brake application prematurely. [H-4.1]",False
771,Actuator delay results in insufficient braking force during landing. [H-4.1],"Inadequate runway friction leads to extended landing roll, risking safety. [H-4.1]",True
772,Actuator delay results in insufficient braking force during landing. [H-4.1],Failure in autobrake controller logic leads to brake application error during landing. [H-4.1],True
773,Autobrake system erroneously applies breaks during takeoff. [H-4.3],Communication lag leads to failure in timely satellite repositioning for data collection. [H-5],False
774,Autobrake controller incorrectly activates in normal takeoff scenario. [H-4.3],In-flight control system reset results in temporary loss of navigation capabilities. [H-4],False
775,Hydraulic leak prevents adequate brake pressure application. [H-4.1],"Wet runway impacts braking efficiency, causing deceleration issues. [H-4.1]",True
776,Crew ignores braking system warnings due to unclear procedures. [H-4.1],"Inadequate runway friction leads to extended landing roll, risking safety. [H-4.1]",True
777,Autobrake controller incorrectly activates in normal takeoff scenario. [H-4.3],Late crew response to autobrake anomaly leads to braking inefficiencies. [H-4.1],False
778,Autobrake controller incorrectly activates in normal takeoff scenario. [H-4.3],Autopilot disengagement error results in improper descent path. [H-6],False
779,"Cargo aircraft inadvertently releases cargo mid-flight, violating separation standards. [H-1]","Aircraft navigation error leads to unanticipated altitude drop, risking separation. [H-1]",True
780,Crew ignores braking system warnings due to unclear procedures. [H-4.1],Software crash causes temporary loss of satellite data acquisition capabilities. [H-5],False
781,Crew's incorrect power-off decision causes unnecessary brake failure. [H-4.1],In-flight control system reset results in temporary loss of navigation capabilities. [H-4],False
782,Actuator delay results in insufficient braking force during landing. [H-4.1],Hydraulic failure leads to asymmetric brake application. [H-4.2],False
783,Ground proximity system failure leads to aircraft nearing other ground objects. [H-4],Software crash causes temporary loss of satellite data acquisition capabilities. [H-5],False
784,Structural failure of aircraft wing results in loss of airframe integrity. [H-2],Power surge in BSCU disrupts normal braking sequence. [H-4.1],False
785,"Aircraft navigation error leads to unanticipated altitude drop, risking separation. [H-1]",Software crash causes temporary loss of satellite data acquisition capabilities. [H-5],False
786,UAV’s data link failure leads to incomplete surveillance mission. [H-7],Tire burst during landing roll causes deviation from runway. [H-3],False
787,UAV’s data link failure leads to incomplete surveillance mission. [H-7],"Aircraft navigation error leads to unanticipated altitude drop, risking separation. [H-1]",False
788,Ground proximity system failure leads to aircraft nearing other ground objects. [H-4],"Sensor failure misindicates aircraft stop, halting brake application prematurely. [H-4.1]",False
789,Asymmetrical braking applied due to hydraulic system imbalance. [H-4.2],Failure in autobrake controller logic leads to brake application error during landing. [H-4.1],False
790,Ground proximity system failure leads to aircraft nearing other ground objects. [H-4],Tire burst during landing roll causes deviation from runway. [H-3],False
791,Failure in autobrake controller logic leads to brake application error during landing. [H-4.1],Pilot error in thrust control leads to unsafe proximity to terrain during descent. [H-6],False
792,Terrain detection issue causes aircraft to drift too close to a mountain. [H-6],In-flight control system reset results in temporary loss of navigation capabilities. [H-4],False
793,Ground proximity system failure leads to aircraft nearing other ground objects. [H-4],Late feedback to BSCU results in delayed braking upon touchdown. [H-4.1],True
794,Aircraft taxiing system error causes deviation from designated taxiway. [H-3],Crew's incorrect power-off decision causes unnecessary brake failure. [H-4.1],False
795,Terrain detection issue causes aircraft to drift too close to a mountain. [H-6],Brake system power-off too early interrupting necessary deceleration. [H-4.1],False
796,Ground proximity system failure leads to aircraft nearing other ground objects. [H-4],Crew's incorrect power-off decision causes unnecessary brake failure. [H-4.1],True
797,Actuator delay results in insufficient braking force during landing. [H-4.1],Weather-induced loss of control disrupts mission timeline. [H-4],False
798,"Wet runway impacts braking efficiency, causing deceleration issues. [H-4.1]",Crew intervention in normal braking leads to unnecessary power-off of BSCU. [H-4.1],True
799,"Inadequate runway friction leads to extended landing roll, risking safety. [H-4.1]",Late crew response to autobrake anomaly leads to braking inefficiencies. [H-4.1],True
800,In-flight control system reset results in temporary loss of navigation capabilities. [H-4],Communication lag leads to failure in timely satellite repositioning for data collection. [H-5],False
801,GPS failure results in UAV deviating from mission path. [H-4],"Inadequate runway friction leads to extended landing roll, risking safety. [H-4.1]",True
802,Early termination of brake command resulting in extended runway use. [H-4.1],Ground radar failure results in aircraft collision with ground object. [H-4],False
803,GPS failure results in UAV deviating from mission path. [H-4],"Aircraft navigation error leads to unanticipated altitude drop, risking separation. [H-1]",False
804,"Inadequate runway friction leads to extended landing roll, risking safety. [H-4.1]",In-flight control system reset results in temporary loss of navigation capabilities. [H-4],False
805,BSCU software error causes braking delay beyond specified time after touchdown. [H-4.1],Weather-induced loss of control disrupts mission timeline. [H-4],False
806,"Inadequate runway friction leads to extended landing roll, risking safety. [H-4.1]",Tire burst during landing roll causes deviation from runway. [H-3],False
807,Hydraulic failure leads to asymmetric brake application. [H-4.2],BSCU manual override misinterpretation fails to apply necessary braking. [H-4.1],False
808,Structural failure of aircraft wing results in loss of airframe integrity. [H-2],"Wind shear encounter causes deviation from flight path, compromising separation. [H-1]",False
809,Ground proximity system failure leads to aircraft nearing other ground objects. [H-4],Autopilot disengagement error results in improper descent path. [H-6],False
810,GPS failure results in UAV deviating from mission path. [H-4],"Sensor misalignment reports incorrect ground proximity, leading to hazards. [H-4]",True
811,Control system failure at nuclear plant leads to dangerous material release. [H-8],Crew's late response to abnormal WBS handling results in safety compromise. [H-4.1],False
812,Satellite communication error prevents scientific data collection. [H-5],Software crash causes temporary loss of satellite data acquisition capabilities. [H-5],True
813,"Inadequate runway friction leads to extended landing roll, risking safety. [H-4.1]",Crew’s failure to acknowledge sensor alerts results in delay in power-off action. [H-4.1],False
814,UAV’s data link failure leads to incomplete surveillance mission. [H-7],BSCU software error causes braking delay beyond specified time after touchdown. [H-4.1],False
815,Malfunction in UAV’s navigation system prevents mission completion. [H-7],Ground radar failure results in aircraft collision with ground object. [H-4],False
816,Late feedback to BSCU results in delayed braking upon touchdown. [H-4.1],Crew ignores braking system warnings due to unclear procedures. [H-4.1],False
817,Hydraulic control failure results in insufficient braking power application. [H-4.1],Crew’s failure to acknowledge sensor alerts results in delay in power-off action. [H-4.1],False
818,"Aircraft navigation error leads to unanticipated altitude drop, risking separation. [H-1]",Crew’s failure to acknowledge sensor alerts results in delay in power-off action. [H-4.1],False
